File name,Merged,Genotype,Age (Day),Treatment
SAMN06465201,Col.0...4.day...Ground.Control,Col,4,GroundControl
SAMN06465179,Col.0...4.day...Ground.Control,Col,4,GroundControl
SAMN06465197,Col.0...4.day...Ground.Control,Col,4,GroundControl
SAMN06465194,Col.0...4.day...Ground.Control,Col,4,GroundControl
SAMN06465190,Col.0...4.day...Space.Flight,Col,4,SpaceFlight
SAMN06465187,Col.0...4.day...Space.Flight,Col,4,SpaceFlight
SAMN06465183,Col.0...4.day...Space.Flight,Col,4,SpaceFlight
SAMN06465181,Col.0...4.day...Space.Flight,Col,4,SpaceFlight
SAMN06465177,WS...4.day...Ground.Control,WS,4,GroundControl
SAMN06465174,WS...4.day...Ground.Control,WS,4,GroundControl
SAMN06465172,WS...4.day...Ground.Control,WS,4,GroundControl
SAMN06465170,WS...4.day...Ground.Control,WS,4,GroundControl
SAMN06465168,WS...4.day...Space.Flight,WS,4,SpaceFlight
SAMN06465165,WS...4.day...Space.Flight,WS,4,SpaceFlight
SAMN06465163,WS...4.day...Space.Flight,WS,4,SpaceFlight
SAMN06465160,WS...4.day...Space.Flight,WS,4,SpaceFlight
SAMN06465157,Col.0...8.day...Ground.Control,Col,8,GroundControl
SAMN06465155,Col.0...8.day...Ground.Control,Col,8,GroundControl
SAMN06465152,Col.0...8.day...Ground.Control,Col,8,GroundControl
SAMN06465150,Col.0...8.day...Ground.Control,Col,8,GroundControl
SAMN06465148,Col.0...8.day...Space.Flight,Col,8,SpaceFlight
SAMN06465146,Col.0...8.day...Space.Flight,Col,8,SpaceFlight
SAMN06465144,Col.0...8.day...Space.Flight,Col,8,SpaceFlight
SAMN06465142,Col.0...8.day...Space.Flight,Col,8,SpaceFlight
SAMN06465276,WS...8.day...Ground.Control,WS,8,GroundControl
SAMN06465275,WS...8.day...Ground.Control,WS,8,GroundControl
SAMN06465273,WS...8.day...Ground.Control,WS,8,GroundControl
SAMN06465272,WS...8.day...Ground.Control,WS,8,GroundControl
SAMN06465270,WS...8.day...Space.Flight,WS,8,SpaceFlight
SAMN06465269,WS...8.day...Space.Flight,WS,8,SpaceFlight
SAMN06465268,WS...8.day...Space.Flight,WS,8,SpaceFlight
SAMN06465267,WS...8.day...Space.Flight,WS,8,SpaceFlight